"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","ltdr_yearly_ndvi_mean.2013.mean","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF.Project.Grant.CEO.approve.stage","GEF4.SP.list"
"459",1713.54809570312,5178.1357421875,43.2028301886792,0.136437773704529,292.461024498886,6.44791316986084,0,14.5890220733,-24.1672,33.1214,96.1,0,30.3,28.5,20.7,25.2083333333333,0,2700.42211914,1,2882.9362793,0.502014011180803,0.502014011180803,5742.74067076127,0.502014011180803,2103.66200684521,NA,NA
"462",1869.05517578125,2878.65869140625,10.5654970760234,0.440188974142075,35.4222222222222,315.725860595703,0,14.807795842,-25.04455,33.64769,113.7,0,37.9583333333333,27.6,20.5,24.6333333333333,4.40888888889,3369.7265625,1,2905.0949707,0.563120318629825,0.563120318629825,5158.92407819457,0.563120318629825,2103.66200684521,NA,NA
"463",1699.56457519531,13750.912109375,145.354819633353,0.72138524055481,246.085201793722,3.57455611228943,3,10.5223126547,-23.8236,32.05218,75.35,0,22.5375,27.7,18.35,23.6875,0,2348.95922852,1,2598.89257812,0.362652007739003,0.362652007739003,7166.35375693383,0.362652007739003,2103.66200684521,NA,NA
"464",3682.12841796875,1610.31982421875,70.9631794272355,0.51922070980072,128.252212389381,123.34171295166,0,33.4514899884,-25.01612,33.16889,128.45,12.55,47.0041666666667,27.3,19.8,24.0791666666667,0.896247240618,3858.07592773,1,3990.6628418,0.573411827405977,0.573411827405977,6959.50563115016,0.573411827405977,2103.66200684521,NA,NA
"465",2166.35571289062,1735.19140625,54.0802107728337,0.603212893009186,103.424107142857,43.5784492492676,0,9.76248417295,-24.59366,33.99219,90.575,1.55,35.8854166666667,28,21.1,25.0791666666667,0,2789.97241211,1,2892.21679688,0.479906473637236,0.479906473637236,6026.6259276724,0.479906473637236,2103.66200684521,NA,NA
"466",2627.86303710938,1352.00402832031,32.1770222743259,0.133497059345245,35.9181415929204,161.078384399414,0,7.73001086511,-24.52248,33.00457,112.15,3.2,35.51875,27.925,20.1,24.6416666666667,2.30803571429,2512.35253906,1,2864.56396484,0.462431444131603,0.462431444131603,6194.57003020058,0.462431444131603,2103.66200684521,NA,NA
"467",1850.63830566406,3440.60375976562,116.458136792453,0.198469832539558,277.19512195122,3.14692521095276,0,17.8277770921,-23.49586,32.72707,74,0,25.025,28.5,19.95,24.8208333333333,0,2954.29296875,1,3078.61645508,0.548391530507152,0.548391530507152,5613.90226474304,0.548391530507152,2103.66200684521,NA,NA
"469",3164.9638671875,2418.85498046875,230.39309112567,0.33021554350853,298.938636363636,2.81755089759827,0,15.7723078034,-22.76516,32.10983,31.8,0,9.90833333333333,29.7,19.8,25.65,0.0898876404494,2882.30297852,1,3151.76879883,0.510346830936606,0.510346830936606,6175.73894413289,0.510346830936606,2103.66200684521,NA,NA
"470",1924.330078125,2912.06713867188,11.9785714285714,0.497990429401398,37.0727272727273,311.935821533203,0,14.7140937663,-25.05217,33.65565,113.7,0,37.9583333333333,27.6,20.5,24.6333333333333,4.49223946785,3016.05957031,1,2551.53051758,0.531325699672397,0.531325699672397,4802.19669244912,0.531325699672397,2103.66200684521,NA,NA
"471",3347.80932617188,1728.71179199219,1362.26279650437,1.74182784557343,235.934272300469,4.9280571937561,0,25.6739850231,-13.6996,29.49748,295.8,0.05,83.2166666666667,23.9,14.7,19.9291666666667,0.0571428571429,2921.28955078,1,3121.15356445,0.5516918601186,0.5516918601186,5657.42181474098,0.5516918601186,2103.66200684521,NA,NA
"472",1777.96545410156,8250.3642578125,1366.55784865541,2.5739438533783,667.086124401914,5.89729309082031,0,19.2548897504,-13.36222,30.23433,314.2,0,96.1666666666667,22.8,14.6,19.0333333333333,0.138823529412,3145.3203125,1,3152.03198242,0.648616339318747,0.648616339318747,4859.62469852461,0.648616339318747,2103.66200684521,NA,NA
"496",3582.18237304688,5047.8125,949.625763125763,0.091145358979702,663.785219399538,3.82240033149719,2,7.15230811736,-18.2444661641588,23.6856169700605,155.4,0,39.1333333333333,27.5,18.1,24.2416666666667,0,2707.75854492,1,2829.3762207,0.343508934788797,0.343508934788797,8236.68887226941,0.343508934788797,2103.66200684521,"",""
"665",2100.70751953125,10180.8916015625,1496.9583081571,11.0473976135254,1103.05034324943,16.6565570831299,0,24.8656841069,-19.7895379756193,33.0812239819344,128.6,7.4,65.2958333333333,23.6,15.65,20.3458333333333,0,3554.47290039,1,3684.64697266,0.586676542906186,0.586676542906186,6280.54251906438,0.586676542906186,2103.66200684521,"",""
"668",13444.818359375,22753.314453125,21.3939393939394,1.17805516719818,458.35,10.5903787612915,0,1.62811636238,-21.66572,35.46593,71.6,0,25.6083333333333,28.8,22.3,25.8416666666667,0.401360544218,817.768432617,1,724.759887695,0.347321804863014,0.347321804863014,2086.71001229206,0.347321804863014,-2072.56185922283,"",""
